,xUTM,yUTM,Prob
242,473500,857500,0.0006394411423078447
243,474000,857500,0.0009353231425773012
244,474500,857500,0.0013949920251942428
245,475000,857500,0.0019295682430900706
246,475500,857500,0.0021138194643271304
247,476000,857500,0.0018253519100171855
248,476500,857500,0.001547103192346499
249,477000,857500,0.0015632113087458842
250,477500,857500,0.0016413435757965554
251,478000,857500,0.001518933648730266
252,478500,857500,0.0014540298387983625
253,479000,857500,0.0021022891609623557
254,479500,857500,0.00336484776175041
255,480000,857500,0.003924364526434637
256,480500,857500,0.0029948578038703627
257,481000,857500,0.001482235052204404
258,481500,857500,0.0004807229263922263
259,482000,857500,0.0001036921494013655
260,482500,857500,1.5112073250575251e-05
261,483000,857500,1.5093789854654933e-06
262,483500,857500,1.0425313024921821e-07
263,484000,857500,4.980259578033176e-09
264,468000,858000,2.891745552240787e-09
265,468500,858000,4.3693278444660906e-08
266,469000,858000,4.2909875461891965e-07
267,469500,858000,2.9554873495900593e-06
268,470000,858000,1.592066350984246e-05
269,470500,858000,7.042654235422634e-05
270,471000,858000,0.0002388918645585351
271,471500,858000,0.000568867671636699
272,472000,858000,0.0009294148037521338
273,472500,858000,0.001122285881525042
274,473000,858000,0.001206432542691399
275,473500,858000,0.001342310225529821
276,474000,858000,0.0015055271452268008
277,474500,858000,0.0017405202906140681
278,475000,858000,0.002141237660600827
279,475500,858000,0.002476326079963648
280,476000,858000,0.002657991641925375
281,476500,858000,0.0030011510589653314
282,477000,858000,0.0035060421339284677
283,477500,858000,0.003713117043497485
284,478000,858000,0.003276059040448975
285,478500,858000,0.0026596539128645237
286,479000,858000,0.002970666638286851
287,479500,858000,0.004316369397051048
288,480000,858000,0.005069996750793505
289,480500,858000,0.004040662555066309
290,481000,858000,0.0021477594647703593
291,481500,858000,0.0007748642719228864
292,482000,858000,0.00019390524909476637
293,482500,858000,3.411574541144627e-05
294,483000,858000,4.215856540471326e-06
295,483500,858000,3.607108439447957e-07
296,484000,858000,2.0925486668197825e-08
297,468000,858500,1.8765767972424263e-08
298,468500,858500,2.77704780711437e-07
299,469000,858500,2.5803808981389992e-06
300,469500,858500,1.5545839543643824e-05
301,470000,858500,6.506482030096108e-05
302,470500,858500,0.0002096549399780923
303,471000,858500,0.0005533824337554474
304,471500,858500,0.0011541085289255963
305,472000,858500,0.0018144710919396941
306,472500,858500,0.0022330176705467903
307,473000,858500,0.0023918550005791296
308,473500,858500,0.0023600767345073473
309,474000,858500,0.0021362704501027598
310,474500,858500,0.00198900677692227
311,475000,858500,0.002231400084529549
312,475500,858500,0.0027272714957305936
313,476000,858500,0.003371402266644857
314,476500,858500,0.004292838215063026
315,477000,858500,0.00521001183882484
316,477500,858500,0.00551250031691285
317,478000,858500,0.004831054774052122
318,478500,858500,0.0036815082039180266
319,479000,858500,0.0034143355970831925
320,479500,858500,0.004541960998946696
321,480000,858500,0.0055897546577195955
322,480500,858500,0.004924416295110414
323,481000,858500,0.002981328384784563
324,481500,858500,0.001255047450388174
325,482000,858500,0.00037252418317192175
326,482500,858500,7.799579691033513e-05
327,483000,858500,1.1345388054930524e-05
328,483500,858500,1.1196002944072963e-06
329,484000,858500,7.317337195004322e-08
330,468000,859000,8.01113933217392e-08
331,468500,859000,1.1764056153004231e-06
332,469000,859000,1.072811303704506e-05
333,469500,859000,6.158642411745496e-05
334,470000,859000,0.00022975194260357762
335,470500,859000,0.0005954709833138058
336,471000,859000,0.001188665883724951
337,471500,859000,0.0019857505611775104
338,472000,859000,0.002818023499492782
339,472500,859000,0.003423066984161177
340,473000,859000,0.003646503831598424
341,473500,859000,0.0033424235579367794
342,474000,859000,0.0025952629702218526
343,474500,859000,0.0019863233456457476
344,475000,859000,0.0019638334166336836
345,475500,859000,0.0023753257279863645
346,476000,859000,0.0030627555628372806
347,476500,859000,0.004028745407473165
